Date,Open,High,Low,Close,Body,Upper Wick,Lower Wick,,Gap,Inside Bar,% Change,,Volume,OBV,Vol SMA(20),,True Range,ATR(14),Hist Vol,BB Upper,BB Middle,BB Lower,,Avg Price,Avg Delta,ROC(5),,SMA(20),SMA(50),SMA(200),EMA(9),EMA(12),EMA(20),EMA(26),EMA(50),EMA(200),,MACD,Signal,MACD Hist,,R3,R2,R1,S1,S2,S3,,Kelt Upper,Kelt Mid,Kelt Lower,,Avg Up,Avg Down,RSI(9),StochRSI %K,StochRSI %D,,Avg Up 14,Avg Down 14,RSI(14),RSI Trend,,Williams %R,CCI,Momentum(10),,Plus DM,Minus DM,Plus DM14,Minus DM14,Plus DI14,Minus DI14,DX,ADX,,Tenkan,Kijun,Senkou A,Senkou B,Chikou,Senkou A+26,Senkou B+26
2025-05-05,1.1306,1.1365,1.1296,1.1315,0.0009,0.005,0.001,,,,,,161936,161936,,,,,,,,,,1.1325,,,,,,,,,,,,,,,,,,1.1424,1.1389,1.1355,1.1286,1.1252,1.1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1315,,
2025-05-06,1.1315,1.1381,1.128,1.137,0.0055,0.0011,0.0035,,0,0,0.49,,170683,332619,,,101,,,,,,,1.1344,19,,,,,,,,,,,,,,,,,1.1508,1.1458,1.1407,1.1306,1.1256,1.1205,,,,,,,,,,,,,,,,,,,,,0,16,,,,,,,,,,,,1.137,,
2025-05-07,1.137,1.1378,1.1292,1.1302,-0.0068,0.0008,0.001,,0,1,-0.6,,211304,121315,,,86,,,,,,,1.1324,-20,,,,,,,,,,,,,,,,,1.1442,1.1399,1.1356,1.127,1.1227,1.1184,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1.1302,,
2025-05-08,1.1308,1.1336,1.1212,1.1229,-0.0079,0.0028,0.0017,,0.0006,0,-0.65,,207390,-86075,,,124,,,,,,,1.1259,-65,,,,,,,,,,,,,,,,,1.143,1.1368,1.1306,1.1182,1.112,1.1058,,,,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,1.1229,,
2025-05-09,1.1225,1.1293,1.1197,1.1249,0.0024,0.0044,0.0028,,-0.0004,0,0.18,,143751,57676,,,96,,,,,,,1.1246,-13,,,,,,,,,,,,,,,,,1.1392,1.1344,1.1296,1.12,1.1152,1.1104,,,,,,,,,,,,,,,,,,,,,0,15,,,,,,,,,,,,1.1249,,
2025-05-12,1.1202,1.1243,1.1065,1.1088,-0.0114,0.0041,0.0023,,-0.0047,0,-1.43,,253191,-195515,,,184,,,,,,,1.1132,-114,-2.01,,,,,,,,,,,,,,,,1.1377,1.1288,1.1199,1.1021,1.0932,1.0843,,,,,,,,,,,,,,,,,,,,,0,132,,,,,,,,,,,,1.1088,,
2025-05-13,1.1092,1.1195,1.1088,1.1185,0.0093,0.001,0.0004,,0.0004,1,0.87,,168633,-26882,,,107,,,,,,,1.1156,24,-1.63,,,,,,,,,,,,,,,,1.1331,1.1278,1.1224,1.1117,1.1064,1.101,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1.1185,,
2025-05-14,1.1187,1.1266,1.1165,1.1173,-0.0014,0.0079,0.0008,,0.0002,0,-0.11,,199634,-226516,,,101,,,,,,,1.1201,45,-1.14,,,,,,,,,,,,,,,,1.1339,1.1289,1.1238,1.1137,1.1087,1.1036,,,,,,,,,,,,,,,,,,,,,71,0,,,,,,,,,,,,1.1173,,
2025-05-15,1.118,1.1228,1.117,1.1186,0.0006,0.0042,0.001,,0.0007,1,0.12,,158078,-68438,,,58,,,,,,,1.1195,-6,-0.38,,,,,,,,,,,,,,,,1.1277,1.1248,1.1219,1.1161,1.1132,1.1103,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1.1223,,,,1.1186,,
2025-05-16,1.119,1.122,1.1131,1.1165,-0.0025,0.003,0.0034,,0.0004,0,-0.19,,144905,-213343,,,89,,,,,,,1.1172,-23,-0.75,,,,,1.1226,,,,,,,,,,,1.1302,1.1258,1.1213,1.1124,1.108,1.1035,,,,,,20.6,37.2,35.64,,,,,,,,,,,,,0,39,,,,,,,,1.1223,,,,1.1165,,
